출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P004,교촌마을(출발지),P007,백년손님,8,648
P004,교촌마을(출발지),P008,백조식당,11,885
P004,교촌마을(출발지),P009,줄리스,14,1078
P004,교촌마을(출발지),P010,포롱아밀 황남점,11,873
P004,교촌마을(출발지),P011,화양연화,8,618
P004,교촌마을(출발지),P012,료코,9,713
P004,교촌마을(출발지),P013,황남두꺼비식당 황남본점,10,755
P004,교촌마을(출발지),P014,피자옥,12,922
P004,교촌마을(출발지),P015,범외양간 황리단길본점,15,1134
P004,교촌마을(출발지),P016,경주황소곱창 황리단길본점,13,1039
P004,교촌마을(출발지),P017,메종드문,11,847
P004,교촌마을(출발지),P018,풍미갈비찜,10,793
P004,교촌마을(출발지),P019,황남갈비,8,622
P004,교촌마을(출발지),P020,타베르나,10,764
P004,교촌마을(출발지),P021,소나무 황리단길본점,11,858
P004,교촌마을(출발지),P022,오칼국수,9,731
P004,교촌마을(출발지),P023,황남거북이,12,903
P004,교촌마을(출발지),P024,그때그소간지,10,737
P004,교촌마을(출발지),P025,짚불함박,16,1211
P004,교촌마을(출발지),P026,향밀,11,869
P004,교촌마을(출발지),P027,체크인치즈 황리단길점,10,793
P004,교촌마을(출발지),P028,황남역,17,1320
P004,교촌마을(출발지),P029,황남양옥,13,984
P004,교촌마을(출발지),P030,대릉소반,9,714
P004,교촌마을(출발지),P031,미포기사식당,15,1171
P004,교촌마을(출발지),P032,황리화덕가,14,1095
P004,교촌마을(출발지),P033,향택 경주,15,1143
P004,교촌마을(출발지),P034,무궁무진,13,992
P004,교촌마을(출발지),P035,노키,15,1141
P004,교촌마을(출발지),P036,마카다,10,765
P004,교촌마을(출발지),P037,황리단 치킨,15,1164
P004,교촌마을(출발지),P038,담요 따뜻한 손길,11,875
P004,교촌마을(출발지),P039,스컹크웍스,12,920
P004,교촌마을(출발지),P040,굿즈,10,744
P004,교촌마을(출발지),P041,샬로우커피 황리단길점,14,1074
P004,교촌마을(출발지),P042,데어벤치,9,671
P004,교촌마을(출발지),P043,스위피,9,667
P004,교촌마을(출발지),P044,아르떼,9,694
P004,교촌마을(출발지),P045,키도트,17,1322
P004,교촌마을(출발지),P046,후프후프,18,1381
P004,교촌마을(출발지),P047,올리브,15,1174
P004,교촌마을(출발지),P048,양지다방,15,1133
P004,교촌마을(출발지),P049,미실카페,16,1238
P004,교촌마을(출발지),P050,햇오프커피,16,1211
P004,교촌마을(출발지),P051,비화커피,15,1136
P004,교촌마을(출발지),P052,오버랩,23,1676
P004,교촌마을(출발지),P053,주돈,23,1735
P004,교촌마을(출발지),P054,서울뒷고기막창,24,1760
P004,교촌마을(출발지),P055,옐라,21,1666
P004,교촌마을(출발지),P056,대호당,22,1747
P004,교촌마을(출발지),P057,사계돈,21,1681
P004,교촌마을(출발지),P058,황오바오,21,1629
P004,교촌마을(출발지),P059,시간의 여백,24,1844
P004,교촌마을(출발지),P060,리커피하우스,24,1869
P004,교촌마을(출발지),P061,로라커피,28,2160
P004,교촌마을(출발지),P062,소담루,32,2431
P004,교촌마을(출발지),P063,위주,31,2370
P004,교촌마을(출발지),P064,크루그,29,2210
P004,교촌마을(출발지),P065,나봉상점 경주점,22,1735
P004,교촌마을(출발지),P066,연화,26,1924
P004,교촌마을(출발지),P067,yesterday,33,2000
P004,교촌마을(출발지),P068,진수성찬,3,222
P004,교촌마을(출발지),P069,베이글베이글러,4,280
P004,교촌마을(출발지),P070,경주 핑크뮬리(경주 핑크뮬리 군락지),13,1038
